Date,Open,High,Low,Close,Volume,ticker
10/05/2023,107.73,107.74,107.73,107.74,0,IDCOT7TR:PSE
09/05/2023,106.97,106.97,106.96,106.96,0,IDCOT7TR:PSE
08/05/2023,107.07,107.07,107.07,107.07,0,IDCOT7TR:PSE
05/05/2023,107.69,107.69,107.69,107.69,0,IDCOT7TR:PSE
04/05/2023,108.28,108.28,108.28,108.28,0,IDCOT7TR:PSE
03/05/2023,108.33,108.34,108.33,108.34,0,IDCOT7TR:PSE
02/05/2023,107.64,107.64,107.63,107.63,0,IDCOT7TR:PSE
01/05/2023,106.23,106.23,106.23,106.23,0,IDCOT7TR:PSE
28/04/2023,107.5,107.5,107.49,107.49,0,IDCOT7TR:PSE
27/04/2023,106.66,106.66,106.66,106.66,0,IDCOT7TR:PSE
26/04/2023,107.4,107.4,107.4,107.4,0,IDCOT7TR:PSE
25/04/2023,107.85,107.85,107.85,107.85,0,IDCOT7TR:PSE
24/04/2023,106.74,106.74,106.74,106.74,0,IDCOT7TR:PSE
21/04/2023,106.22,106.23,106.22,106.23,0,IDCOT7TR:PSE
20/04/2023,106.47,106.47,106.45,106.45,0,IDCOT7TR:PSE
19/04/2023,105.91,105.91,105.91,105.91,0,IDCOT7TR:PSE
18/04/2023,106.1,106.11,106.1,106.11,0,IDCOT7TR:PSE
17/04/2023,105.96,105.96,105.96,105.96,0,IDCOT7TR:PSE
14/04/2023,106.61,106.61,106.6,106.6,0,IDCOT7TR:PSE
13/04/2023,107.13,107.14,107.13,107.14,0,IDCOT7TR:PSE
12/04/2023,107.46,107.46,107.46,107.46,0,IDCOT7TR:PSE
11/04/2023,107.19,107.19,107.19,107.19,0,IDCOT7TR:PSE
10/04/2023,107.24,107.24,107.23,107.23,0,IDCOT7TR:PSE
06/04/2023,108.27,108.27,108.26,108.26,0,IDCOT7TR:PSE
05/04/2023,108.2,108.21,108.2,108.21,0,IDCOT7TR:PSE
04/04/2023,107.79,107.79,107.78,107.78,0,IDCOT7TR:PSE
03/04/2023,107.11,107.12,107.11,107.12,0,IDCOT7TR:PSE
31/03/2023,106.6,106.6,106.59,106.59,0,IDCOT7TR:PSE
30/03/2023,106,106,106,106,0,IDCOT7TR:PSE
29/03/2023,105.87,105.88,105.87,105.88,0,IDCOT7TR:PSE
28/03/2023,106.04,106.04,106.04,106.04,0,IDCOT7TR:PSE
27/03/2023,106.12,106.14,106.12,106.14,0,IDCOT7TR:PSE
24/03/2023,107.42,107.42,107.41,107.41,0,IDCOT7TR:PSE
23/03/2023,107.37,107.37,107.37,107.37,0,IDCOT7TR:PSE
22/03/2023,106.73,106.74,106.73,106.74,0,IDCOT7TR:PSE
21/03/2023,105.4,105.4,105.39,105.39,0,IDCOT7TR:PSE
20/03/2023,106.32,106.34,106.32,106.34,0,IDCOT7TR:PSE
17/03/2023,106.79,106.79,106.78,106.78,0,IDCOT7TR:PSE
16/03/2023,105.5,105.5,105.5,105.5,0,IDCOT7TR:PSE
15/03/2023,106.47,106.47,106.45,106.45,0,IDCOT7TR:PSE
14/03/2023,104.94,104.94,104.93,104.93,0,IDCOT7TR:PSE
13/03/2023,105.98,105.98,105.98,105.98,0,IDCOT7TR:PSE
10/03/2023,104.67,104.68,104.67,104.68,0,IDCOT7TR:PSE
09/03/2023,102.76,102.77,102.76,102.77,0,IDCOT7TR:PSE
08/03/2023,102.19,102.19,102.19,102.19,0,IDCOT7TR:PSE
07/03/2023,102.24,102.24,102.23,102.23,0,IDCOT7TR:PSE
06/03/2023,102.21,102.21,102.21,102.21,0,IDCOT7TR:PSE
03/03/2023,102.35,102.37,102.35,102.37,0,IDCOT7TR:PSE
02/03/2023,101.54,101.55,101.54,101.55,0,IDCOT7TR:PSE
01/03/2023,102.01,102.01,102.01,102.01,0,IDCOT7TR:PSE
28/02/2023,102.79,102.8,102.79,102.8,0,IDCOT7TR:PSE
27/02/2023,102.64,102.64,102.64,102.64,0,IDCOT7TR:PSE
24/02/2023,102.35,102.35,102.35,102.35,0,IDCOT7TR:PSE
23/02/2023,102.96,102.96,102.96,102.96,0,IDCOT7TR:PSE
22/02/2023,102.6,102.6,102.59,102.59,0,IDCOT7TR:PSE
21/02/2023,102.4,102.4,102.4,102.4,0,IDCOT7TR:PSE
17/02/2023,103.51,103.51,103.51,103.51,0,IDCOT7TR:PSE
16/02/2023,103.18,103.18,103.18,103.18,0,IDCOT7TR:PSE
15/02/2023,103.57,103.57,103.57,103.57,0,IDCOT7TR:PSE
14/02/2023,103.89,103.89,103.88,103.88,0,IDCOT7TR:PSE
13/02/2023,104.34,104.34,104.34,104.34,0,IDCOT7TR:PSE
10/02/2023,104.06,104.06,104.06,104.06,0,IDCOT7TR:PSE
09/02/2023,104.58,104.58,104.58,104.58,0,IDCOT7TR:PSE
08/02/2023,105.07,105.07,105.06,105.06,0,IDCOT7TR:PSE
07/02/2023,104.69,104.69,104.69,104.69,0,IDCOT7TR:PSE
06/02/2023,104.94,104.94,104.94,104.94,0,IDCOT7TR:PSE
03/02/2023,105.84,105.85,105.84,105.85,0,IDCOT7TR:PSE
